IDMOV;MOV_SOLI;CRIACAO_SOLI;CUSTO_SOLI;EMISSAO_SOLI;CRIACAO_SOLI;APROVADO;DT_APROVADO_SOLI;APROVACAO_SOLI;CODTMV;NUMEROMOV;IDMOV;DATACRIACAO;VALORBRUTO;NOMEFANTASIA;CODCCUSTO;DATAEMISSAO;USUARIOCRIACAO;APROVADO;DATAAPROVACAO;CODUSUARIO;QTD_APROVACOES;VALOR_BRUTO_ITM;CODIGOPRD;NOMEFANTASIA;CONCLUIDO;CODFILIAL;CODCOLIGADA;NOME CODCOLIGADA;MOTIVO;HISTORICO;QUANTIDADE TOTAL;PREÇO ORÇADO;REGULARIZAÇÃO
593;1.1.18;04/11/2022;3.0001.05;04/11/2022;julio.cavalcante;S;24/11/2022;bernardo.ferola;1.1.21;000055;1299;23/01/2023;12533.6;INFRAFORT TUBOS E CONEXOES DE PVC LTDA - EPP;3.0001.05;23/01/2023;karina.moreira;S;18/08/2023;Ramon;4;712;MFEF.001.001.0095;TAMPAO EM FERRO FUNDIDO DN 100 (T5/T9);N;2;33;EMCCAMP INCORPORACAO SC 09 SPE LTDA;;Necessário Inspeção Sabesp em todos os materiais ///// ordem de compra desaprovada dia 16/08/2023 p/ atualização do valor do item 7, de R$178,00 p/ R$ 280,00;4;178,000;Formato Inválido
593;1.1.18;04/11/2022;3.0001.05;04/11/2022;julio.cavalcante;S;24/11/2022;bernardo.ferola;1.1.21;000055;1299;23/01/2023;12533.6;INFRAFORT TUBOS E CONEXOES DE PVC LTDA - EPP;3.0001.05;23/01/2023;karina.moreira;S;18/08/2023;Ramon;4;39.6;MHID.001.004.0018;ANEL DE BORRACHA VEDACAO PN10 DN 100MM - NBR 7671;N;2;33;EMCCAMP INCORPORACAO SC 09 SPE LTDA;;Necessário Inspeção Sabesp em todos os materiais ///// ordem de compra desaprovada dia 16/08/2023 p/ atualização do valor do item 7, de R$178,00 p/ R$ 280,00;12;0,000;Formato Inválido
593;1.1.18;04/11/2022;3.0001.05;04/11/2022;julio.cavalcante;S;24/11/2022;bernardo.ferola;1.1.21;000055;1299;23/01/2023;12533.6;INFRAFORT TUBOS E CONEXOES DE PVC LTDA - EPP;3.0001.05;23/01/2023;karina.moreira;S;18/08/2023;Ramon;4;24;MHID.001.004.0041;ANEL DE BORRACHA PARA JUNTAS FLANGEADAS PN10 DN 200MM - NBR 7671;N;2;33;EMCCAMP INCORPORACAO SC 09 SPE LTDA;;Necessário Inspeção Sabesp em todos os materiais ///// ordem de compra desaprovada dia 16/08/2023 p/ atualização do valor do item 7, de R$178,00 p/ R$ 280,00;4;8,000;Formato Inválido
593;1.1.18;04/11/2022;3.0001.05;04/11/2022;julio.cavalcante;S;24/11/2022;bernardo.ferola;1.1.21;000055;1299;23/01/2023;12533.6;INFRAFORT TUBOS E CONEXOES DE PVC LTDA - EPP;3.0001.05;23/01/2023;karina.moreira;S;18/08/2023;Ramon;4;666;MHID.002.001.0144;LUVA ELETROFUSAO PEAD PN10 SDR17 110MM - NBR 15561;N;2;33;EMCCAMP INCORPORACAO SC 09 SPE LTDA;;Necessário Inspeção Sabesp em todos os materiais ///// ordem de compra desaprovada dia 16/08/2023 p/ atualização do valor do item 7, de R$178,00 p/ R$ 280,00;6;0,000;Formato Inválido
593;1.1.18;04/11/2022;3.0001.05;04/11/2022;julio.cavalcante;S;24/11/2022;bernardo.ferola;1.1.21;000055;1299;23/01/2023;12533.6;INFRAFORT TUBOS E CONEXOES DE PVC LTDA - EPP;3.0001.05;23/01/2023;karina.moreira;S;18/08/2023;Ramon;4;860;MHID.002.003.0262;CURVA ELETROFUSAO PEAD PE100 PN10 SDR 17  90° X 225MM - NBR 15561;N;2;33;EMCCAMP INCORPORACAO SC 09 SPE LTDA;;Necessário Inspeção Sabesp em todos os materiais ///// ordem de compra desaprovada dia 16/08/2023 p/ atualização do valor do item 7, de R$178,00 p/ R$ 280,00;1;0,000;Formato Inválido
593;1.1.18;04/11/2022;3.0001.05;04/11/2022;julio.cavalcante;S;24/11/2022;bernardo.ferola;1.1.21;000055;1299;23/01/2023;12533.6;INFRAFORT TUBOS E CONEXOES DE PVC LTDA - EPP;3.0001.05;23/01/2023;karina.moreira;S;18/08/2023;Ramon;4;90;MHID.002.005.0057;COLARINHO PEAD PN10 SDR17 LONGO DE TRANSICAO DN 110MM - NBR 15561;N;2;33;EMCCAMP INCORPORACAO SC 09 SPE LTDA;;Necessário Inspeção Sabesp em todos os materiais ///// ordem de compra desaprovada dia 16/08/2023 p/ atualização do valor do item 7, de R$178,00 p/ R$ 280,00;1;0,000;Formato Inválido
593;1.1.18;04/11/2022;3.0001.05;04/11/2022;julio.cavalcante;S;24/11/2022;bernardo.ferola;1.1.21;000055;1299;23/01/2023;12533.6;INFRAFORT TUBOS E CONEXOES DE PVC LTDA - EPP;3.0001.05;23/01/2023;karina.moreira;S;18/08/2023;Ramon;4;596;MHID.002.005.0091;COLARINHO PEAD DE 225 PN10 PE 100 SDR17;N;2;33;EMCCAMP INCORPORACAO SC 09 SPE LTDA;;Necessário Inspeção Sabesp em todos os materiais ///// ordem de compra desaprovada dia 16/08/2023 p/ atualização do valor do item 7, de R$178,00 p/ R$ 280,00;2;0,000;Formato Inválido
593;1.1.18;04/11/2022;3.0001.05;04/11/2022;julio.cavalcante;S;24/11/2022;bernardo.ferola;1.1.21;000055;1299;23/01/2023;12533.6;INFRAFORT TUBOS E CONEXOES DE PVC LTDA - EPP;3.0001.05;23/01/2023;karina.moreira;S;18/08/2023;Ramon;4;470;MHID.002.011.0117;JOELHO ELETROFUSAO PEAD PN16 SDR11 90° X 110MM - NBR 15561;N;2;33;EMCCAMP INCORPORACAO SC 09 SPE LTDA;;Necessário Inspeção Sabesp em todos os materiais ///// ordem de compra desaprovada dia 16/08/2023 p/ atualização do valor do item 7, de R$178,00 p/ R$ 280,00;2;0,000;Formato Inválido
593;1.1.18;04/11/2022;3.0001.05;04/11/2022;julio.cavalcante;S;24/11/2022;bernardo.ferola;1.1.21;000055;1299;23/01/2023;12533.6;INFRAFORT TUBOS E CONEXOES DE PVC LTDA - EPP;3.0001.05;23/01/2023;karina.moreira;S;18/08/2023;Ramon;4;140;MHID.002.011.0150;JOELHO ELETROFUSAO PEAD PN16 SDR11 90° X 90MM - NBR 15561;N;2;33;EMCCAMP INCORPORACAO SC 09 SPE LTDA;;Necessário Inspeção Sabesp em todos os materiais ///// ordem de compra desaprovada dia 16/08/2023 p/ atualização do valor do item 7, de R$178,00 p/ R$ 280,00;1;0,000;Formato Inválido
593;1.1.18;04/11/2022;3.0001.05;04/11/2022;julio.cavalcante;S;24/11/2022;bernardo.ferola;1.1.21;000055;1299;23/01/2023;12533.6;INFRAFORT TUBOS E CONEXOES DE PVC LTDA - EPP;3.0001.05;23/01/2023;karina.moreira;S;18/08/2023;Ramon;4;60;MHID.002.013.0208;ADAPTADOR DE COMPRENSAO RM EM PP 75MM X 3";N;2;33;EMCCAMP INCORPORACAO SC 09 SPE LTDA;;Necessário Inspeção Sabesp em todos os materiais ///// ordem de compra desaprovada dia 16/08/2023 p/ atualização do valor do item 7, de R$178,00 p/ R$ 280,00;1;0,000;Formato Inválido
